episode,score
1,46.2786247326
2,46.7296665918
3,46.8504923253
4,33.8888547192
5,-20.7712938192
6,24.0075090485
7,-15.7865159208
8,10.3398759991
9,42.3660407344
10,5.0163653787
11,8.55755269029
12,27.1149317005
13,9.06754309515
14,27.6672120251
15,13.3132250444
16,25.4334606713
17,33.91432585
18,25.0749837516
19,21.9179657555
20,26.038968266
21,22.0848099692
22,17.4905287501
23,26.7424618881
24,-39.7725250526
25,50.5868893723
26,88.5161997906
27,51.3503959986
28,19.1110157102
29,29.8337552823
30,12.2171471068
31,36.7267692688
32,-118.58749703
33,9.31389764538
34,41.0105650802
35,37.02362844
36,43.932745751
37,37.9130408096
38,46.5919094101
39,27.3796815792
40,12.2609987709
41,41.7317558868
42,39.8792707542
43,46.3327080439
44,42.0776984761
45,43.0522498535
46,42.4648769986
47,46.4352179626
48,20.9540277308
49,42.1721148519
50,47.8350712839
51,46.5191595025
52,45.3688393641
53,45.3249650491
54,45.2389565976
55,46.7993152344
56,45.8990076495
57,42.1616740543
58,46.9073860123
59,50.6842371054
60,46.0015098794
61,48.5054007645
62,49.0531159328
63,46.7856493166
64,43.8751682079
65,42.936440788
66,46.6705371568
67,44.3162345551
68,45.8070632959
69,20.2631399592
70,35.0956451588
71,29.2017510052
72,21.3089637153
73,40.7217819762
74,45.5711379716
75,48.6306476924
76,48.6542487408
77,43.5510989922
78,41.7782104769
79,43.110017373
80,41.0036377251
81,41.0443488271
82,45.8694412984
83,42.5984860606
84,39.5043179017
85,45.5813984389
86,47.8939145464
87,43.7849874157
88,39.1195969726
89,49.5036582968
90,45.4264436349
91,44.523504752
92,46.2572441831
93,46.1986682557
94,44.2041506442
95,46.7955493865
96,46.9639111587
97,42.0716896032
98,48.4787544324
99,48.1003068026
100,46.9389457139
101,45.2797570125
102,47.1874182097
103,46.5986529034
104,46.1795833043
105,44.8492364604
106,43.0559022148
107,47.717289659
108,45.6188367322
109,40.2234397136
110,45.1444320954
111,49.7129225309
112,49.2490959212
113,26.8685218922
114,34.1629045531
115,32.6482940302
116,43.2155971489
117,42.5841594047
118,29.5038875686
119,34.718467936
120,34.5620582252
121,36.841560475
122,24.2644696787
123,34.8896553925
124,34.8193071783
125,34.4203334523
126,25.3561017234
127,35.590229144
128,35.8817460269
129,28.7966713684
130,38.7405442266
131,32.2375326167
132,30.6111926628
133,-64.8239603461
134,27.6957142713
135,40.9279900696
136,34.0173816661
137,40.8176538007
138,35.2896357737
139,36.8730828285
140,45.5910277274
141,35.6769283879
142,40.829647882
143,-5.8533681868
144,42.3714196811
145,8.68494464785
146,35.7924683179
147,9.23649967784
148,37.9797412562
149,36.9717640978
150,28.1733828506
151,35.2045246798
152,33.7434188112
153,23.0389912413
154,48.6640905886
155,16.1253419661
156,33.5709758145
157,23.8257710349
158,-47.5819919741
159,41.5540222555
160,4.57860448864
161,45.7400443271
162,35.1450964032
163,40.8543821852
164,37.2810553417
165,24.5822124677
166,9.10275190435
167,-106.144423226
168,-381.231369435
169,1.35778795637
170,32.5196809841
171,7.56144652453
172,-23.1871901683
173,23.9190755685
174,16.4428448931
175,32.5960389107
176,15.0132593422
177,30.927430965
178,25.560142753
179,-17.3846380439
180,-46.5423009388
181,30.7796834333
182,-11.1780074047
183,-4.77739622776
184,-329.503070065
185,-61.7734702821
186,-15.1130066781
187,-39.7602648362
188,27.3008919374
189,29.2942051939
190,32.4317910537
191,32.3541253724
192,-4.38546431629
193,0.927114451269
194,20.7309521176
195,-285.797626683
196,-138.005045273
197,28.3029218213
198,11.2741311236
199,33.4084607853
200,37.7060679474
201,46.4441237341
202,-29.4659529017
203,-82.2655561897
204,36.3383880237
205,-83.0630725919
206,12.3167650747
207,-81.1503635939
208,-97.4974019219
209,-37.6435096934
210,-2.34571701415
211,12.3042154825
212,-14.1503448291
213,-100.204840105
214,-15.7255631632
215,39.9201010431
216,-11.8178635278
217,-18.6938360225
218,-3.89621524321
219,26.4938664626
220,-88.3016272592
221,-340.605562898
222,323.362423366
223,451.125455682
224,503.247121707
225,254.280121884
226,685.174053278
227,501.413106575
228,453.455325916
229,512.643882699
230,23.0626517792
231,-59.1370590632
232,-7.89671651256
233,24.6975387433
234,6.07478302145
235,43.0452084411
236,15.1598362327
237,52.9664226207
238,43.9139511494
239,19.4381977618
240,13.9925680242
241,-16.7463405392
242,25.1831780086
243,21.0594048261
244,52.3465416474
245,-270.708297801
246,-260.16325439
247,-234.53314572
248,28.1485899747
249,23.772046431
250,25.0891141389
251,25.6854065495
252,24.4272946149
253,23.0518849706
254,25.9730187708
255,25.5675927537
256,25.3625522745
257,26.4899540835
258,22.7291886625
259,24.610422673
260,22.9500018709
261,25.6188922793
262,19.9762100204
263,26.2934644359
264,25.5411049219
265,16.7470190516
266,28.0418305222
267,28.1632801367
268,24.0521531906
269,24.5786976268
270,23.0982693391
271,27.328714205
272,24.032335974
273,25.8106973549
274,26.3383447544
275,22.8423124219
276,25.2539083258
277,18.3934722036
278,22.1977081337
279,26.8837893789
280,23.7374734846
281,22.1783690076
282,21.8140219817
283,26.5495109281
284,24.3620593356
285,25.7349724364
286,23.3216554213
287,26.6641968261
288,27.1251379977
289,26.259854088
290,26.3115124999
291,28.3571139357
292,26.2446073843
293,27.1370820532
294,23.8236479907
295,25.1852582994
296,20.9404264032
297,35.8598328316
298,-71.5378255636
299,52.5073101209
300,655.0730976
301,442.641627063
302,596.493343634
303,585.399888598
304,400.576847778
305,608.080741746
306,306.786222629
307,521.074253712
308,624.418149297
309,530.01422727
310,769.34538124
311,396.391124077
312,607.914688247
313,655.035873245
314,240.699057286
315,582.136203636
316,493.854645655
317,403.266187858
318,505.0824861
319,322.082563726
320,604.487738315
321,599.627845062
322,490.069961211
323,528.025098755
324,574.610374962
325,493.70426147
326,199.919296415
327,668.264461143
328,409.640895
329,551.476241125
330,575.983958549
331,640.259236522
332,316.167197255
333,-14.0959568099
334,436.964291294
335,460.774280257
336,713.742544866
337,688.162657089
338,597.53957026
339,533.146535121
340,612.541040223
341,519.182709904
342,501.40689669
343,503.441986064
344,499.175845604
345,587.995248653
346,1426.03276012
347,683.133737295
348,669.763962493
349,545.399839392
350,651.16472042
351,705.12010612
352,579.998770182
353,657.006316145
354,417.699590153
355,613.725428495
356,596.089801814
357,475.41964583
358,496.933567695
359,616.960612498
360,644.860845526
361,302.892999658
362,535.683708835
363,222.302400099
364,459.563068852
365,466.153511557
366,493.956789028
367,611.128514819
368,494.319554156
369,594.156002591
370,557.646603127
371,384.481707168
372,444.080689977
373,479.794764295
374,385.362948176
375,542.838593505
376,643.770920648
377,125.761310872
378,605.043883217
379,578.575847982
380,93.5837644384
381,626.102809543
382,416.927270461
383,499.775984349
384,602.072050719
385,355.242649215
386,591.080489814
387,685.954436146
388,651.733335792
389,387.701579752
390,445.08600012
391,751.557909185
392,345.658651758
393,441.207952366
394,653.206037189
395,610.937798716
396,318.242550195
397,609.230523126
398,704.733740705
399,270.543963552
400,660.650715483
401,589.42919355
402,597.658376965
403,560.372394722
404,388.738061892
405,680.962649434
406,339.632578746
407,497.991860069
408,572.696195493
409,534.941519581
410,631.739323074
411,650.640638593
412,188.872805264
413,236.627349312
414,160.941429111
415,570.672062647
416,530.457313812
417,460.603870773
418,599.923962257
419,384.401983903
420,504.314981173
421,249.166741648
422,595.900534238
423,414.244536115
424,460.956702192
425,519.877049774
426,352.800987549
427,1053.03447323
428,377.555824804
429,321.926919369
430,543.793862225
431,321.407443295
432,678.669814586
433,626.85943211
434,591.075698862
435,648.95377127
436,425.730203985
437,781.040962143
438,490.639339929
439,408.899497855
440,432.47420557
441,538.612142975
442,563.883884951
443,390.197194019
444,198.727267075
445,605.898431569
446,646.485799778
447,884.468537404
448,490.69108096
449,182.340089989
450,516.60585461
451,614.975705891
452,447.1497379
453,402.78586187
454,454.162318509
455,211.250079616
456,683.357073622
457,594.409081298
458,612.098193771
459,547.979499071
460,314.081583492
461,608.108944595
462,463.618665203
463,513.943066353
464,1548.26352736
465,538.46053245
466,474.148313183
467,152.495641806
468,604.477685851
469,575.894567592
470,422.91115663
471,481.414439136
472,546.728715818
473,575.645395315
474,405.859869783
475,153.440763055
476,392.022880422
477,265.374908868
478,476.87161314
479,661.100029611
480,305.453073425
481,410.411004431
482,668.647833281
483,543.023609727
484,1493.95727727
485,454.492616959
486,1317.10638662
487,299.210900957
488,609.135280022
489,575.156623652
490,771.379074315
491,584.708993211
492,1172.39563949
493,652.231481442
494,583.222496504
495,562.040667263
496,474.48291951
497,626.100468628
498,610.635691653
499,634.595821927
500,676.470244257
501,524.38662785
502,578.295735355
503,466.416292515
504,501.76538814
505,469.888275778
506,671.77628173
507,630.420678393
508,592.573571968
509,307.976520452
510,356.474405325
511,534.237376156
512,700.916659405
513,616.676536396
514,191.82844265
515,288.259019706
516,69.2653611601
517,416.284667547
518,598.816921887
519,811.47554098
520,456.502747673
521,525.045766317
522,489.416322603
523,336.11121332
524,393.780078037
525,463.520784689
526,375.948667728
527,651.510322394
528,620.216842927
529,394.414912458
530,701.26663376
531,267.726450531
532,358.538252963
533,438.457649248
534,278.699386765
535,659.676285125
536,360.556842391
537,587.546857875
538,521.568531298
539,258.129655412
540,1469.59981671
541,588.682238849
542,580.326762577
543,163.753362211
544,667.309861715
545,581.871716573
546,490.588442879
547,410.803859962
548,19746.7220076
549,3844.37084579
550,229.620166733
551,505.081623146
552,662.938317475
553,537.806552332
554,558.290386255
555,493.933042275
556,149.119392982
557,758.300703734
558,667.769302342
559,1780.32768264
560,623.363069577
561,553.929664251
562,339.714995193
563,424.27396982
564,522.814682603
565,472.759053745
566,603.629632566
567,683.638459088
568,538.42124498
569,399.089361598
570,565.588576138
571,84.1676182175
572,491.373309266
573,325.219896754
574,4734.07059091
575,601.600578146
576,400.37994287
577,348.838765187
578,556.383044877
579,664.428882682
580,595.048071334
581,486.102020482
582,544.442165137
583,567.699313095
584,553.341545695
585,515.049219942
586,597.565445489
587,492.336821339
588,599.753240738
589,413.042451296
590,620.016482189
591,486.001958095
592,331.923862456
593,645.547306867
594,657.696073097
595,416.757065699
596,392.414025121
597,591.701427167
598,631.871787845
599,-55.9732252984
600,452.338690014
601,301.089245852
602,66.3155254009
603,532.18514002
604,320.9313813
605,390.025027041
606,478.093999676
607,529.870600239
608,565.585719348
609,647.30220345
610,205.557099643
611,161.043334103
612,553.755222044
613,307.179290002
614,582.523912787
615,537.361889147
616,529.448673154
617,475.160159643
618,631.233691855
619,273.037521285
620,303.836942833
621,265.083737806
622,452.329391011
623,503.665455735
624,250.114428046
625,558.078620215
626,475.088611975
627,331.670152784
628,452.691657993
629,518.069966229
630,240.24529186
631,153.060225969
632,238.114843587
633,358.239142913
634,373.477213685
635,35.0253616745
636,192.01215436
637,556.559604086
638,336.97934172
639,-123.387063928
640,603.031292144
641,605.941670838
642,562.980775284
643,545.347905689
644,558.327454607
645,378.212634313
646,504.425552515
647,477.102215934
648,458.492919606
649,338.492908317
650,383.883161526
651,401.55831345
652,1081.9641708
653,546.731615449
654,326.891402611
655,321.817095066
656,515.591341444
657,608.83552853
658,329.841994646
659,226.576739571
660,742.149165647
661,587.912971431
662,424.586840786
663,458.235031223
664,344.781274873
665,472.823883563
666,1119.91800342
667,622.530027483
668,258.551476406
669,543.197362546
670,488.963100452
671,449.005768248
672,563.489576501
673,703.383272763
674,202.258077148
675,-85.8436590626
676,439.385745468
677,364.443416265
678,506.703589129
679,669.277313921
680,516.596096594
681,351.341172187
682,114.382230154
683,445.57987613
684,479.14004075
685,210.351837597
686,596.530542043
687,576.104928006
688,381.401368373
689,391.592066887
690,61.178581768
691,307.907578459
692,859.28218439
693,540.328462848
694,659.322556538
695,396.138370558
696,575.433519444
697,655.327356282
698,639.351772391
699,682.777400998
700,614.639617925
701,476.26279864
702,668.793076637
703,476.069257666
704,379.043140779
705,634.818205641
706,373.049648744
707,514.515581326
708,164.706076043
709,282.799980078
710,424.013995559
711,618.921576415
712,368.932245089
713,586.101208341
714,701.243443983
715,520.986098071
716,213.152373216
717,395.151453125
718,667.995070303
719,487.093595179
720,483.018362822
721,-9.66349803334
722,606.272103782
723,210.948759441
724,500.68863217
725,590.45618566
726,253.461084024
727,567.837629875
728,425.185364042
729,265.752821995
730,589.257247596
731,524.231193605
732,553.82884689
733,482.873940002
734,586.416587738
735,193.431345996
736,62.2532777061
737,665.42103051
738,198.862366834
739,413.509206537
740,552.789031203
741,534.161628274
742,309.916224695
743,608.812302446
744,621.756420594
745,519.88972014
746,606.505250108
747,501.519280299
748,556.348004202
749,448.22168332
750,463.324503401
751,404.296698086
752,202.444061153
753,463.751735279
754,672.306476697
755,362.224089611
756,579.75478108
757,543.283050541
758,585.987268528
759,642.938669938
760,382.417318728
761,374.101593414
762,317.187142654
763,549.86229451
764,567.793232185
765,646.183024072
766,528.328809986
767,341.248116775
768,578.633883669
769,371.252615089
770,573.044234485
771,490.900819561
772,338.874763811
773,553.644790135
774,438.769778612
775,254.046004539
776,333.434416481
777,1304.5641093
778,367.39992487
779,89.9106060848
780,260.656186856
781,549.639052204
782,225.662159596
783,505.070325466
784,468.394463455
785,506.511433991
786,550.580975932
