trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",25,0,-123.96857178913709,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.98}",20,0,-121.29177570904272,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.97}",30,0,-174.61369905237848,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.96}",20,0,-157.6933013944863,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.95}",20,0,-98.2167109614884,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.94}",30,3,-106.6744351770499,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.2, 'e': 0.9299999999999999}",20,0,-64.07575517487759,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9199999999999999}",30,0,-268.6030597123092,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
9,False,"{'a': 0.2, 'e': 0.9099999999999999}",25,0,-148.73600821370766,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.8999999999999999}",30,0,-113.99308392444051,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.8899999999999999}",20,0,-183.7532977734107,"{0: 9, 1: 5, 2: 1, 3: 2, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.8799999999999999}",25,0,-122.26410087866856,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8699999999999999}",25,0,-46.75283536279593,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.8599999999999999}",20,0,-15.772691159846673,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.8499999999999999}",25,0,-155.09716721795417,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.8399999999999999}",20,0,-208.80615304056175,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.2, 'e': 0.8299999999999998}",20,0,-63.40089397801975,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.8199999999999998}",20,0,-83.53093235805419,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.8099999999999998}",25,0,-123.00797372363512,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,0,-49.36363804161986,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.7899999999999998}",25,0,-203.5999385994387,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
22,False,"{'a': 0.2, 'e': 0.7799999999999998}",35,0,-109.75964660512089,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.7699999999999998}",25,13,18.16188484839176,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.7599999999999998}",25,0,-57.12749219043467,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.7499999999999998}",20,0,-103.19300896067159,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.7399999999999998}",20,0,-26.57523204776612,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.7299999999999998}",20,0,-102.73095041541178,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.7199999999999998}",20,0,-53.40484478210041,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.7099999999999997}",20,5,-8.511905345386058,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.6999999999999997}",25,0,-80.6163455691802,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.6899999999999997}",25,0,-86.55613469385703,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.6799999999999997}",20,11,-12.443997444325223,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.6699999999999997}",25,14,-70.64101553926766,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
34,False,"{'a': 0.2, 'e': 0.6599999999999997}",30,1,-112.43659735166293,"{0: 20, 1: 3, 2: 2, 3: 3, 4: 1}",1
35,False,"{'a': 0.2, 'e': 0.6499999999999997}",30,0,-47.32920338660668,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.6399999999999997}",30,4,-191.72723967854438,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 4}",1
37,False,"{'a': 0.2, 'e': 0.6299999999999997}",20,0,-87.44487980014422,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.6199999999999997}",30,3,-60.01695730183255,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.6099999999999997}",25,0,-3.740345726243039,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,0,-47.6295512830278,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.2, 'e': 0.5899999999999996}",25,18,0.8417104884086795,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.5799999999999996}",25,0,-68.04050021519119,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.5699999999999996}",20,4,-2.3128465343051587,"{0: 12, 1: 4, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.5599999999999996}",30,22,-33.88541843501332,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.5499999999999996}",25,0,-43.87647178617338,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.5399999999999996}",20,0,-35.92259682082778,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.5299999999999996}",30,0,-37.64204804859741,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.5199999999999996}",20,1,-107.35655110879124,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
49,False,"{'a': 0.2, 'e': 0.5099999999999996}",20,10,-2.0042735215168164,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.49999999999999956}",20,0,-112.74374189538584,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
51,False,"{'a': 0.2, 'e': 0.48999999999999955}",25,0,-0.928131217272538,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.47999999999999954}",20,0,-46.98158415220303,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.46999999999999953}",25,13,13.204595648315678,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.4599999999999995}",20,0,-22.570140447796962,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.2, 'e': 0.4499999999999995}",20,1,-5.208777699802938,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.4399999999999995}",20,13,12.029015831846753,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.4299999999999995}",30,16,-31.86237490143716,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.2, 'e': 0.4199999999999995}",20,8,-1.1406963735570743,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.4099999999999995}",25,0,-34.839228648611886,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.39999999999999947}",20,12,-16.606350578736674,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.38999999999999946}",25,11,13.175878450592428,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.37999999999999945}",30,16,0.5753135397413571,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.36999999999999944}",20,0,-54.13224714784183,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",1
64,False,"{'a': 0.2, 'e': 0.35999999999999943}",20,4,18.472242635279322,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.3499999999999994}",25,9,-22.62470914694286,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.3399999999999994}",25,12,-1.941854463590297,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.3299999999999994}",20,16,7.7882518477176,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.3199999999999994}",25,13,21.125460624697514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.3099999999999994}",20,14,2.184827814492723,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.2999999999999994}",30,4,-43.77313076584757,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.2, 'e': 0.28999999999999937}",25,2,-57.863306208297615,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
