trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.92486297294528,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.94205884959013,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-151.17005915178657,"{0: 21, 1: 3, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.85233951399168,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.77650574172645,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.86902458224574,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,5,-28.378609884983327,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.0168375352524,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-253.12716719962435,"{0: 14, 1: 3, 2: 7, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.14419508641538,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.08009457579479,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,1,-106.99170359194481,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.15618554245998,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.34539665190789,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.55175791043203,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.24238020309134,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.97490809850507,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.99273339013787,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.46236275175725,"{0: 9, 1: 7, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.70617669106642,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.7167565102606,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.14254196142243,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.14569047637286,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.49082643226575,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.27811645741724,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.28484389600817,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.28902986729992,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,8,-65.2608942823814,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-175.1174395083765,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.06150544654605,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
